Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,30.0,1.0,30.0,30.0,0.1,22.00700000000001,0.0,0.0,0.004945039749145508,,,,,,,,,,,,,,,,,,,,,9.105771111414771,7.582150459317631,21.77735980891558,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,74.0,2.0,44.0,74.0,0.1,34.00899999999998,0.0,0.0,4.366987466812134,,,,,,,,,,,,,,,,,,,,,14.142535663610635,11.358320713436198,33.45360218156208,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,187.0,3.0,113.0,187.0,0.1,74.03799999999995,0.0,0.0,14.485043287277222,,,,,,,,,,,,,,,,,,,,,32.51414732926438,18.8673693772404,70.50484052800864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,223.0,4.0,36.0,223.0,0.1,26.00900000000001,0.0,0.0,18.048885822296143,,,,,,,,,,,,,,,,,,,,,10.389664675830028,8.919251106259546,25.6863190233979,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,265.0,5.0,42.0,265.0,0.1,31.010000000000012,0.0,0.0,22.022610187530518,,,,,,,,,,,,,,,,,,,,,12.427449536595448,10.508545260354547,30.54911479994809,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,304.0,6.0,39.0,304.0,0.1,30.00800000000001,0.0,0.0,25.978697061538696,,,,,,,,,,,,,,,,,,,,,12.573202423156967,10.084089981477542,29.57676906686154,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,345.0,7.0,41.0,345.0,0.1,32.00799999999998,0.0,0.0,29.952472686767578,,,,,,,,,,,,,,,,,,,,,13.520894343146582,10.68450666230374,31.51664510549688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,424.0,8.0,79.0,424.0,0.1,63.014999999999965,0.0,0.0,37.20297384262085,,,,,,,,,,,,,,,,,,,,,25.7852059619623,20.35568435742083,61.100107844586304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,507.0,9.0,83.0,507.0,0.1,66.01600000000008,0.0,0.0,44.654566287994385,,,,,,,,,,,,,,,,,,,,,26.853638509938072,21.301521090838087,63.91491391659441,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,559.0,10.0,52.0,559.0,0.1,43.00799999999998,0.0,0.0,49.75691032409668,,,,,,,,,,,,,,,,,,,,,18.756474760339877,13.918705367576116,42.11685490541826,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,589.0,11.0,30.0,589.0,0.1,23.006000000000007,0.0,0.0,52.76619863510132,,,,,,,,,,,,,,,,,,,,,9.895847358179882,7.820912629305294,22.754611046737033,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,715.0,12.0,126.0,715.0,0.1,94.03099999999999,0.0,0.0,63.93537974357605,,,,,,,,,,,,,,,,,,,,,43.308841216375285,25.368590434259936,88.75150025574798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,756.0,13.0,41.0,756.0,0.1,30.010000000000012,0.0,0.0,67.96478915214539,,,,,,,,,,,,,,,,,,,,,11.961812557362457,10.201169998480582,29.578693493441534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,790.0,14.0,34.0,790.0,0.1,24.00900000000001,0.0,0.0,71.32057046890259,,,,,,,,,,,,,,,,,,,,,9.461205194179666,8.295582387194973,23.734764818269618,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
